Bus Voltage,Power,Current
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,122.90 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.00 mA
4.30 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,122.90 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,122.90 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,122.90 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.10 mA
4.32 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.00 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,122.90 mA
4.31 V,530.00 mW,122.80 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,534.00 mW,123.10 mA
4.31 V,530.00 mW,122.80 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,122.90 mA
4.71 V,286.00 mW,60.10 mA
4.70 V,286.00 mW,60.60 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,122.80 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,534.00 mW,123.20 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,123.60 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.00 mA
4.31 V,534.00 mW,123.20 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,534.00 mW,123.40 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.60 mA
4.30 V,530.00 mW,123.60 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.60 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,534.00 mW,123.60 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,534.00 mW,123.60 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,534.00 mW,123.30 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,123.40 mA
4.71 V,286.00 mW,60.50 mA
4.71 V,286.00 mW,108.00 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.50 mA
4.30 V,530.00 mW,123.80 mA
4.30 V,530.00 mW,123.70 mA
4.31 V,534.00 mW,123.50 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,123.80 mA
4.30 V,534.00 mW,123.30 mA
4.31 V,530.00 mW,122.80 mA
4.31 V,530.00 mW,123.70 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.60 mA
4.30 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,123.00 mA
4.31 V,534.00 mW,123.40 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.60 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.60 mA
4.31 V,534.00 mW,123.20 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,534.00 mW,123.80 mA
4.31 V,530.00 mW,123.70 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.80 mA
4.31 V,534.00 mW,123.40 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,534.00 mW,123.50 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,534.00 mW,123.20 mA
4.31 V,530.00 mW,123.40 mA
4.68 V,322.00 mW,62.40 mA
4.71 V,286.00 mW,60.30 mA
4.31 V,528.00 mW,123.10 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,123.60 mA
4.31 V,534.00 mW,123.00 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.60 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.00 mA
4.31 V,534.00 mW,123.30 mA
4.31 V,530.00 mW,123.60 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.60 mA
4.31 V,530.00 mW,123.30 mA
4.30 V,528.00 mW,123.50 mA
4.31 V,534.00 mW,123.40 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.00 mA
4.31 V,534.00 mW,123.40 mA
4.30 V,530.00 mW,123.00 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,534.00 mW,123.70 mA
4.31 V,530.00 mW,123.00 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.00 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.00 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,534.00 mW,123.00 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,122.90 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,122.90 mA
4.31 V,530.00 mW,123.00 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,534.00 mW,123.40 mA
4.31 V,534.00 mW,123.50 mA
4.31 V,534.00 mW,123.40 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.40 mA
4.71 V,286.00 mW,60.50 mA
4.71 V,286.00 mW,60.70 mA
4.31 V,530.00 mW,123.00 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,534.00 mW,123.40 mA
4.31 V,530.00 mW,123.60 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,123.00 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,534.00 mW,123.90 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.60 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,122.70 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.00 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.60 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.60 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,534.00 mW,123.20 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.60 mA
4.31 V,534.00 mW,123.40 mA
4.31 V,530.00 mW,123.00 mA
4.71 V,286.00 mW,60.30 mA
4.71 V,286.00 mW,60.00 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,122.80 mA
4.31 V,530.00 mW,122.90 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,534.00 mW,123.20 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,122.90 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.80 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.00 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,122.90 mA
4.31 V,530.00 mW,122.80 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.00 mA
4.31 V,530.00 mW,123.40 mA
4.32 V,530.00 mW,123.10 mA
4.31 V,534.00 mW,123.00 mA
4.31 V,534.00 mW,123.10 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,123.60 mA
4.31 V,534.00 mW,123.00 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.00 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,534.00 mW,123.10 mA
4.32 V,534.00 mW,123.10 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.30 mA
4.71 V,286.00 mW,60.20 mA
4.71 V,286.00 mW,79.60 mA
4.31 V,530.00 mW,123.00 mA
4.31 V,530.00 mW,122.80 mA
4.31 V,530.00 mW,123.00 mA
4.31 V,534.00 mW,123.00 mA
4.31 V,530.00 mW,123.30 mA
4.32 V,530.00 mW,122.80 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.20 mA
4.32 V,534.00 mW,123.00 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.20 mA
4.32 V,530.00 mW,122.90 mA
4.31 V,534.00 mW,123.00 mA
4.32 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,122.90 mA
4.32 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,122.80 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.20 mA
4.32 V,530.00 mW,123.00 mA
4.32 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.70 mA
4.32 V,530.00 mW,123.10 mA
4.32 V,530.00 mW,122.90 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.00 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,122.90 mA
4.31 V,530.00 mW,123.10 mA
4.32 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,122.90 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.00 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,534.00 mW,123.20 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,534.00 mW,123.10 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,534.00 mW,122.90 mA
4.32 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,122.90 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.50 mA
4.32 V,530.00 mW,123.00 mA
4.31 V,530.00 mW,123.00 mA
4.60 V,420.00 mW,66.20 mA
4.71 V,286.00 mW,60.30 mA
4.32 V,528.00 mW,123.30 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,534.00 mW,123.40 mA
4.31 V,530.00 mW,123.20 mA
4.32 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,534.00 mW,123.60 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,534.00 mW,123.30 mA
4.31 V,530.00 mW,123.50 mA
4.32 V,530.00 mW,123.20 mA
4.31 V,534.00 mW,123.10 mA
4.31 V,530.00 mW,123.60 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,534.00 mW,123.20 mA
4.31 V,530.00 mW,123.20 mA
4.32 V,530.00 mW,122.90 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,123.40 mA
4.32 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.00 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,534.00 mW,123.20 mA
4.31 V,530.00 mW,123.00 mA
4.31 V,534.00 mW,123.10 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,534.00 mW,123.30 mA
4.31 V,530.00 mW,123.40 mA
4.32 V,534.00 mW,123.20 mA
4.32 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,123.20 mA
4.32 V,530.00 mW,123.40 mA
4.32 V,530.00 mW,123.00 mA
4.31 V,530.00 mW,123.20 mA
4.32 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.00 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,534.00 mW,123.20 mA
4.71 V,286.00 mW,60.60 mA
4.71 V,286.00 mW,60.50 mA
4.32 V,530.00 mW,123.50 mA
4.32 V,530.00 mW,123.60 mA
4.31 V,530.00 mW,123.00 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.00 mA
4.32 V,530.00 mW,123.30 mA
4.32 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,534.00 mW,123.40 mA
4.32 V,534.00 mW,123.30 mA
4.32 V,534.00 mW,123.40 mA
4.32 V,530.00 mW,123.10 mA
4.31 V,534.00 mW,123.40 mA
4.31 V,534.00 mW,123.50 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,123.00 mA
4.32 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.60 mA
4.31 V,534.00 mW,123.20 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.20 mA
4.32 V,530.00 mW,123.40 mA
4.32 V,534.00 mW,123.50 mA
4.31 V,534.00 mW,123.10 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,534.00 mW,123.10 mA
4.31 V,530.00 mW,123.00 mA
4.32 V,534.00 mW,123.20 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.60 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.20 mA
4.32 V,534.00 mW,123.10 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,534.00 mW,123.30 mA
4.31 V,530.00 mW,123.60 mA
4.31 V,530.00 mW,123.60 mA
4.31 V,534.00 mW,123.40 mA
4.32 V,530.00 mW,123.10 mA
4.32 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.30 mA
4.71 V,286.00 mW,60.10 mA
4.71 V,286.00 mW,60.50 mA
4.32 V,530.00 mW,123.10 mA
4.31 V,534.00 mW,123.10 mA
4.32 V,530.00 mW,122.90 mA
4.31 V,530.00 mW,122.90 mA
4.32 V,530.00 mW,123.20 mA
4.32 V,530.00 mW,123.30 mA
4.32 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.30 mA
4.32 V,534.00 mW,123.40 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,122.80 mA
4.31 V,534.00 mW,123.40 mA
4.31 V,530.00 mW,123.40 mA
4.32 V,534.00 mW,123.40 mA
4.32 V,534.00 mW,123.50 mA
4.31 V,534.00 mW,123.10 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.60 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,534.00 mW,123.40 mA
4.31 V,534.00 mW,123.70 mA
4.32 V,534.00 mW,123.20 mA
4.31 V,530.00 mW,123.20 mA
4.32 V,534.00 mW,123.30 mA
4.32 V,530.00 mW,122.90 mA
4.32 V,534.00 mW,123.20 mA
4.31 V,530.00 mW,123.30 mA
4.32 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.20 mA
4.32 V,530.00 mW,123.30 mA
4.31 V,534.00 mW,123.40 mA
4.32 V,530.00 mW,123.00 mA
4.31 V,530.00 mW,123.20 mA
4.32 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.50 mA
4.32 V,530.00 mW,123.30 mA
4.32 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,122.90 mA
4.32 V,534.00 mW,123.20 mA
4.31 V,534.00 mW,123.40 mA
4.32 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.20 mA
4.32 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.00 mA
4.32 V,530.00 mW,123.40 mA
4.31 V,534.00 mW,123.50 mA
4.71 V,286.00 mW,60.20 mA
4.71 V,286.00 mW,59.90 mA
4.32 V,530.00 mW,123.10 mA
4.32 V,530.00 mW,123.20 mA
4.31 V,534.00 mW,122.90 mA
4.32 V,530.00 mW,123.00 mA
4.32 V,534.00 mW,123.00 mA
4.31 V,530.00 mW,123.20 mA
4.32 V,530.00 mW,123.00 mA
4.31 V,530.00 mW,123.50 mA
4.32 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.40 mA
4.32 V,534.00 mW,123.10 mA
4.32 V,530.00 mW,123.00 mA
4.32 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,122.90 mA
4.32 V,534.00 mW,123.30 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,534.00 mW,123.60 mA
4.32 V,530.00 mW,123.00 mA
4.31 V,530.00 mW,123.20 mA
4.32 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.40 mA
4.32 V,534.00 mW,123.10 mA
4.31 V,530.00 mW,123.80 mA
4.32 V,530.00 mW,122.90 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.70 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,534.00 mW,123.40 mA
4.31 V,534.00 mW,123.20 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.40 mA
4.32 V,530.00 mW,122.90 mA
4.32 V,534.00 mW,123.20 mA
4.31 V,530.00 mW,123.60 mA
4.32 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,534.00 mW,123.30 mA
4.31 V,534.00 mW,123.50 mA
4.32 V,534.00 mW,123.40 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.00 mA
4.31 V,534.00 mW,123.20 mA
4.31 V,530.00 mW,123.00 mA
4.32 V,530.00 mW,123.20 mA
4.32 V,530.00 mW,123.00 mA
4.32 V,534.00 mW,123.20 mA
4.31 V,534.00 mW,123.30 mA
4.31 V,530.00 mW,82.70 mA
4.71 V,282.00 mW,60.10 mA
4.33 V,522.00 mW,123.20 mA
4.31 V,530.00 mW,123.30 mA
4.32 V,530.00 mW,123.20 mA
4.32 V,530.00 mW,122.90 mA
4.32 V,530.00 mW,123.20 mA
4.32 V,530.00 mW,123.10 mA
4.32 V,534.00 mW,123.20 mA
4.32 V,534.00 mW,123.30 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,123.00 mA
4.32 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.40 mA
4.32 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.70 mA
4.32 V,530.00 mW,123.00 mA
4.31 V,534.00 mW,123.40 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,123.20 mA
4.32 V,534.00 mW,123.50 mA
4.31 V,534.00 mW,123.50 mA
4.31 V,534.00 mW,123.30 mA
4.31 V,530.00 mW,123.60 mA
4.31 V,530.00 mW,123.90 mA
4.32 V,534.00 mW,123.50 mA
4.32 V,534.00 mW,123.40 mA
4.32 V,534.00 mW,123.40 mA
4.31 V,534.00 mW,123.40 mA
4.31 V,534.00 mW,123.40 mA
4.32 V,530.00 mW,123.40 mA
4.32 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.30 mA
4.32 V,530.00 mW,123.80 mA
4.31 V,534.00 mW,123.80 mA
4.32 V,530.00 mW,123.30 mA
4.31 V,534.00 mW,123.40 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.50 mA
4.32 V,534.00 mW,123.40 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.30 mA
4.32 V,534.00 mW,123.50 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,534.00 mW,123.50 mA
4.31 V,534.00 mW,123.50 mA
4.31 V,534.00 mW,123.80 mA
4.31 V,534.00 mW,123.20 mA
4.31 V,530.00 mW,123.60 mA
4.32 V,534.00 mW,123.40 mA
4.31 V,530.00 mW,123.70 mA
4.31 V,530.00 mW,123.10 mA
4.70 V,288.00 mW,61.10 mA
4.71 V,282.00 mW,60.60 mA
4.31 V,530.00 mW,123.20 mA
4.32 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.40 mA
4.32 V,530.00 mW,123.20 mA
4.31 V,534.00 mW,123.20 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,122.60 mA
4.31 V,530.00 mW,123.60 mA
4.32 V,534.00 mW,123.50 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,534.00 mW,123.60 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,534.00 mW,123.70 mA
4.31 V,530.00 mW,123.80 mA
4.31 V,534.00 mW,123.50 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,534.00 mW,123.60 mA
4.31 V,530.00 mW,123.50 mA
4.32 V,534.00 mW,123.10 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,534.00 mW,123.50 mA
4.31 V,530.00 mW,123.40 mA
4.32 V,534.00 mW,123.20 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,534.00 mW,123.40 mA
4.31 V,534.00 mW,123.60 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,534.00 mW,123.40 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,534.00 mW,123.30 mA
4.32 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,534.00 mW,123.60 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,534.00 mW,123.40 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.40 mA
4.32 V,534.00 mW,123.10 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,534.00 mW,123.40 mA
4.31 V,530.00 mW,123.60 mA
4.32 V,534.00 mW,123.50 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,534.00 mW,123.10 mA
4.31 V,530.00 mW,123.40 mA
4.71 V,286.00 mW,60.60 mA
4.71 V,286.00 mW,60.40 mA
4.32 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.10 mA
4.31 V,530.00 mW,123.00 mA
4.32 V,530.00 mW,123.10 mA
4.32 V,530.00 mW,122.90 mA
4.31 V,534.00 mW,123.20 mA
4.32 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.60 mA
4.32 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.50 mA
4.32 V,534.00 mW,123.40 mA
4.32 V,534.00 mW,123.50 mA
4.32 V,530.00 mW,123.30 mA
4.32 V,534.00 mW,123.40 mA
4.31 V,530.00 mW,123.40 mA
4.32 V,534.00 mW,123.60 mA
4.32 V,534.00 mW,123.30 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,534.00 mW,123.50 mA
4.32 V,534.00 mW,123.20 mA
4.32 V,534.00 mW,123.20 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.40 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,530.00 mW,123.30 mA
4.31 V,530.00 mW,123.20 mA
4.31 V,534.00 mW,123.50 mA
4.32 V,530.00 mW,123.20 mA
4.31 V,534.00 mW,123.30 mA
4.31 V,530.00 mW,123.50 mA
4.31 V,534.00 mW,123.40 mA
